métier,domaine de compétence,id_competence
DATA SCIENTISTE,A. Planifier,A.7
DATA SCIENTISTE,A. Planifier,A.9
DATA SCIENTISTE,D. Faciliter,D.7
DATA SCIENTISTE,D. Faciliter,D.10
DATA SCIENTISTE,D. Faciliter,D.11
DATA SCIENTISTE,E. Gérer,E.1
DATA SCIENTISTE,E. Gérer,E.6
DATA ANALYSTE,A. Planifier,A.9
DATA ANALYSTE,B. Développer,B.1
DATA ANALYSTE,B. Développer,B.3
DATA ANALYSTE,B. Développer,B.5
DATA ANALYSTE,D. Faciliter,D.7
DATA ANALYSTE,D. Faciliter,D.10
DATA ANALYSTE,D. Faciliter,D.11
DATA ANALYSTE,E. Gérer,E.1
DATA ANALYSTE,E. Gérer,E.4
CHIEF DATA OFFICER,A. Planifier,A.1
CHIEF DATA OFFICER,A. Planifier,A.9
CHIEF DATA OFFICER,D. Faciliter,D.1
CHIEF DATA OFFICER,D. Faciliter,D.2
CHIEF DATA OFFICER,D. Faciliter,D.10
CHIEF DATA OFFICER,E. Gérer,E.1
CHIEF DATA OFFICER,E. Gérer,E.4
CHIEF DATA OFFICER,E. Gérer,E.7
CHIEF DATA OFFICER,E. Gérer,E.9
DATA ENGINEER,A. Planifier,A.5
DATA ENGINEER,A. Planifier,A.7
DATA ENGINEER,B. Développer,B.6
DATA ENGINEER,C. Exploiter,C.3
DATA ENGINEER,C. Exploiter,C.4
DATA ENGINEER,D. Faciliter,D.7
DATA ENGINEER,D. Faciliter,D.10
DATA ENGINEER,E. Gérer,E.3
DATA ENGINEER,E. Gérer,E.6
DATA ENGINEER,E. Gérer,E.8
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),B. Développer,B.5
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),D. Faciliter,D.1
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),D. Faciliter,D.3
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),D. Faciliter,D.10
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),E. Gérer,E.3
DÉLÉGUÉ À LA PROTECTION DES DONNÉES (DPO),E. Gérer,E.8
DATA ARCHITECT,A. Planifier,A.5
DATA ARCHITECT,A. Planifier,A.6
DATA ARCHITECT,D. Faciliter,D.2
DATA ARCHITECT,E. Gérer,E.3
DATA ARCHITECT,E. Gérer,E.5
DATA ARCHITECT,E. Gérer,E.7
DATA ARCHITECT,E. Gérer,E.9
DIRECTEUR DE PROJETS,A. Planifier,A.1
DIRECTEUR DE PROJETS,A. Planifier,A.3
DIRECTEUR DE PROJETS,A. Planifier,A.4
DIRECTEUR DE PROJETS,D. Faciliter,D.2
DIRECTEUR DE PROJETS,D. Faciliter,D.9
DIRECTEUR DE PROJETS,D. Faciliter,D.10
DIRECTEUR DE PROJETS,E. Gérer,E.2
DIRECTEUR DE PROJETS,E. Gérer,E.3
DIRECTEUR DE PROJETS,E. Gérer,E.4
CHEF DE PROJET MAÎTRISE D'OUVRAGE,A. Planifier,A.3
CHEF DE PROJET MAÎTRISE D'OUVRAGE,A. Planifier,A.4
CHEF DE PROJET MAÎTRISE D'OUVRAGE,A. Planifier,A.6
CHEF DE PROJET MAÎTRISE D'OUVRAGE,D. Faciliter,D.2
CHEF DE PROJET MAÎTRISE D'OUVRAGE,D. Faciliter,D.3
CHEF DE PROJET MAÎTRISE D'OUVRAGE,D. Faciliter,D.9
CHEF DE PROJET MAÎTRISE D'OUVRAGE,D. Faciliter,D.10
CHEF DE PROJET MAÎTRISE D'OUVRAGE,D. Faciliter,D.11
CHEF DE PROJET MAÎTRISE D'OUVRAGE,E. Gérer,E.2
CHEF DE PROJET MAÎTRISE D'OUVRAGE,E. Gérer,E.7
CHEF DE PROJET MAÎTRISE D’ŒUVRE,A. Planifier,A.2
CHEF DE PROJET MAÎTRISE D’ŒUVRE,A. Planifier,A.4
CHEF DE PROJET MAÎTRISE D’ŒUVRE,A. Planifier,A.6
CHEF DE PROJET MAÎTRISE D’ŒUVRE,B. Développer,B.1
CHEF DE PROJET MAÎTRISE D’ŒUVRE,B. Développer,B.3
CHEF DE PROJET MAÎTRISE D’ŒUVRE,C. Exploiter,C.2
CHEF DE PROJET MAÎTRISE D’ŒUVRE,D. Faciliter,D.4
CHEF DE PROJET MAÎTRISE D’ŒUVRE,D. Faciliter,D.9
CHEF DE PROJET MAÎTRISE D’ŒUVRE,E. Gérer,E.2
CHEF DE PROJET MAÎTRISE D’ŒUVRE,E. Gérer,E.4
COACH AGILE,A. Planifier,A.9
COACH AGILE,D. Faciliter,D.3
COACH AGILE,D. Faciliter,D.9
COACH AGILE,D. Faciliter,D.10
COACH AGILE,D. Faciliter,D.11
COACH AGILE,E. Gérer,E.2
COACH AGILE,E. Gérer,E.5
SCRUM MASTER,A. Planifier,A.4
SCRUM MASTER,A. Planifier,A.9
SCRUM MASTER,B. Développer,B.3
SCRUM MASTER,D. Faciliter,D.9
SCRUM MASTER,E. Gérer,E.2
SCRUM MASTER,E. Gérer,E.5
SCRUM MASTER,E. Gérer,E.6
PRODUCT OWNER,A. Planifier,A.4
PRODUCT OWNER,A. Planifier,A.10
PRODUCT OWNER,B. Développer,B.3
PRODUCT OWNER,B. Développer,B.5
PRODUCT OWNER,D. Faciliter,D.11
PRODUCT OWNER,E. Gérer,E.2
PRODUCT OWNER,E. Gérer,E.4
PRODUCT OWNER,E. Gérer,E.7
CHARGÉ DE PILOTAGE SI (PMO),A. Planifier,A.3
CHARGÉ DE PILOTAGE SI (PMO),A. Planifier,A.4
CHARGÉ DE PILOTAGE SI (PMO),C. Exploiter,C.2
CHARGÉ DE PILOTAGE SI (PMO),D. Faciliter,D.10
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.2
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.3
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.4
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.6
PRODUCT MANAGER,A. Planifier,A.1
PRODUCT MANAGER,A. Planifier,A.4
PRODUCT MANAGER,A. Planifier,A.7
PRODUCT MANAGER,A. Planifier,A.10
PRODUCT MANAGER,D. Faciliter,D.11
PRODUCT MANAGER,E. Gérer,E.1
PRODUCT MANAGER,E. Gérer,E.3
PRODUCT MANAGER,E. Gérer,E.6
RESPONSABLE DES SYSTÈMES APPLICATIFS,A. Planifier,A.2
RESPONSABLE DES SYSTÈMES APPLICATIFS,A. Planifier,A.4
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.2
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.3
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.4
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.5
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.1
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.2
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.4
RESPONSABLE DES SYSTÈMES APPLICATIFS,E. Gérer,E.4
CONCEPTEUR / DÉVELOPPEUR,A. Planifier,A.6
CONCEPTEUR / DÉVELOPPEUR,A. Planifier,A.10
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.1
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.2
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.3
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.4
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.5
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.6
CONCEPTEUR / DÉVELOPPEUR,E. Gérer,E.3
CONCEPTEUR / DÉVELOPPEUR,E. Gérer,E.6
TESTEUR,B. Développer,B.2
TESTEUR,B. Développer,B.3
TESTEUR,B. Développer,B.5
TESTEUR,E. Gérer,E.8
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.4
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.5
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.6
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.2
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.3
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.4
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.5
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.6
INTÉGRATEUR D’APPLICATIONS,E. Gérer,E.3
INTÉGRATEUR D’APPLICATIONS,E. Gérer,E.6
PARAMÉTREUR DE PROGICIELS,A. Planifier,A.6
PARAMÉTREUR DE PROGICIELS,A. Planifier,A.10
PARAMÉTREUR DE PROGICIELS,B. Développer,B.1
PARAMÉTREUR DE PROGICIELS,B. Développer,B.2
PARAMÉTREUR DE PROGICIELS,B. Développer,B.3
PARAMÉTREUR DE PROGICIELS,B. Développer,B.4
PARAMÉTREUR DE PROGICIELS,B. Développer,B.5
PARAMÉTREUR DE PROGICIELS,B. Développer,B.6
PARAMÉTREUR DE PROGICIELS,D. Faciliter,D.11
PARAMÉTREUR DE PROGICIELS,E. Gérer,E.3
