métier,domaine de compétence,id_competence,niveau,description
CHEF DE PROJET MAÎTRISE D’ŒUVRE,C. Exploiter,C.2,3,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
CHEF DE PROJET MAÎTRISE D’ŒUVRE,D. Faciliter,D.4,3,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
CHEF DE PROJET MAÎTRISE D’ŒUVRE,D. Faciliter,D.9,3,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
CHEF DE PROJET MAÎTRISE D’ŒUVRE,E. Gérer,E.2,3,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
CHEF DE PROJET MAÎTRISE D’ŒUVRE,E. Gérer,E.4,3,"Pilote la réalisation technique des projets. Coordonne les équipes de développement et assure la qualité des livrables. Respecte les contraintes de délais, coûts et performance."
COACH AGILE,A. Planifier,A.9,4,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,D. Faciliter,D.3,3,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,D. Faciliter,D.9,3,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,D. Faciliter,D.10,4,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,D. Faciliter,D.11,5,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,E. Gérer,E.2,3,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
COACH AGILE,E. Gérer,E.5,4,"Accompagne les équipes dans l’adoption des méthodes agiles. Favorise l’amélioration continue et la collaboration. Intervient sur les pratiques, la culture et l’organisation."
SCRUM MASTER,A. Planifier,A.4,4,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,A. Planifier,A.9,4,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,B. Développer,B.3,2,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,D. Faciliter,D.9,3,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,E. Gérer,E.2,3,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,E. Gérer,E.5,4,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
SCRUM MASTER,E. Gérer,E.6,2,Facilite le travail d’une équipe Scrum. Anime les rituels agiles et supprime les obstacles. Veille au respect du cadre Scrum.
PRODUCT OWNER,A. Planifier,A.4,3,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,A. Planifier,A.10,3,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,B. Développer,B.3,3,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,B. Développer,B.5,3,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,D. Faciliter,D.11,5,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,E. Gérer,E.2,3,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,E. Gérer,E.4,4,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
PRODUCT OWNER,E. Gérer,E.7,4,Porte la vision produit et priorise le backlog. Traduit les besoins utilisateurs en user stories. Travaille en lien étroit avec les équipes de développement.
CHARGÉ DE PILOTAGE SI (PMO),A. Planifier,A.3,4,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),A. Planifier,A.4,4,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),C. Exploiter,C.2,3,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),D. Faciliter,D.10,4,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.2,4,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.3,3,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.4,4,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
CHARGÉ DE PILOTAGE SI (PMO),E. Gérer,E.6,3,Suit et pilote les projets du système d’information. Met en place des indicateurs de performance et des reportings. Assure la coordination entre projets et direction.
PRODUCT MANAGER,A. Planifier,A.1,4,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,A. Planifier,A.4,4,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,A. Planifier,A.7,3,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,A. Planifier,A.10,3,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,D. Faciliter,D.11,4,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,E. Gérer,E.1,3,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,E. Gérer,E.3,2,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
PRODUCT MANAGER,E. Gérer,E.6,3,"Définit la stratégie produit et son positionnement. Analyse le marché, les utilisateurs et la concurrence. Pilote le cycle de vie du produit."
RESPONSABLE DES SYSTÈMES APPLICATIFS,A. Planifier,A.2,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,A. Planifier,A.4,2,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.2,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.3,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.4,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,B. Développer,B.5,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.1,2,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.2,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,C. Exploiter,C.4,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
RESPONSABLE DES SYSTÈMES APPLICATIFS,E. Gérer,E.4,3,"Gère le portefeuille d’applications de l’entreprise. Assure leur maintenance, évolution et performance. Encadre les équipes techniques associées."
CONCEPTEUR / DÉVELOPPEUR,A. Planifier,A.6,1,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,A. Planifier,A.10,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.1,3,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.2,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.3,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.4,1,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.5,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,B. Développer,B.6,3,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,E. Gérer,E.3,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
CONCEPTEUR / DÉVELOPPEUR,E. Gérer,E.6,2,"Conçoit et développe des applications informatiques. Rédige le code, teste et maintient les solutions. Participe à l’amélioration continue des systèmes."
TESTEUR,B. Développer,B.2,2,Vérifie la conformité et la qualité des applications. Réalise des tests fonctionnels et techniques. Identifie et suit les anomalies.
TESTEUR,B. Développer,B.3,3,Vérifie la conformité et la qualité des applications. Réalise des tests fonctionnels et techniques. Identifie et suit les anomalies.
TESTEUR,B. Développer,B.5,2,Vérifie la conformité et la qualité des applications. Réalise des tests fonctionnels et techniques. Identifie et suit les anomalies.
TESTEUR,E. Gérer,E.8,2,Vérifie la conformité et la qualité des applications. Réalise des tests fonctionnels et techniques. Identifie et suit les anomalies.
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.4,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.5,3,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,A. Planifier,A.6,3,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.2,4,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.3,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.4,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.5,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,B. Développer,B.6,3,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,E. Gérer,E.3,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
INTÉGRATEUR D’APPLICATIONS,E. Gérer,E.6,2,Assemble et déploie les composants logiciels. Assure la compatibilité entre systèmes. Participe aux phases de test et mise en production.
PARAMÉTREUR DE PROGICIELS,A. Planifier,A.6,1,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,A. Planifier,A.10,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.1,3,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.2,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.3,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.4,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.5,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,B. Développer,B.6,3,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,D. Faciliter,D.11,4,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
PARAMÉTREUR DE PROGICIELS,E. Gérer,E.3,2,Configure des logiciels métiers selon les besoins clients. Adapte les fonctionnalités sans développement lourd. Accompagne les utilisateurs dans la prise en main.
